Category,Keywords
EDC ,Expenses,
Self,"cash dep,cash deposit",
UPI,upi,
Self,"personal, transfer, withdrawal, salary, payment, refund, purchase",
Household,"cleaning, groceries, maintenance, utilities, household, supplies",
Gifts,"gift, present, celebration, party, surprise, donation",
Charity,"charity, donation, fundraiser, non-profit, gift, philanthropy",
Banking,"bank, deposit, withdrawal, transfer, fees, atm, branch, checking account",
Credit Card Payment,"credit card payment, card payment, credit bill, card charge",
Loan,"loan, emi, credit, repayment, installment, borrowed",
Interest Capitalization,interest capitalization,
Overdraft Payment,overdraft payment,
Reschedule Overdues,reschedule overdues,
Payment,payment,
Deposit,"deposit, deposit liquidation",
Transfer,transfer,
Withdrawal,"withdrawal, withdraw",
Disbursement,disbursement,
IMPS,"imps, immediate payment service",
NEFT,"neft, national electronic funds transfer",
POS,"pos, point of sale",
Refund,refund,
ATM,"atm, automated teller machine",
Authorization,authorization,
Bank Cards,"bank card, credit card, debit card",
Check,check,
Clearing,clearing,
Closing Transactions,closing transactions,
RTGS,"rtgs, real time gross settlement",
Transaction,transaction,
Reversal,"reversal, refund reversal",
Adjustment,"adjustment, account adjustment",
Fee,"fee, service fee, late fee",
Charge,"charge, processing charge",
Interest,"interest, interest earned, interest payment",
Dividend,"dividend, stock dividend",
Tax,"tax, income tax, property tax",
Penalty,"penalty, late penalty",
Subscription,"subscription, membership, renewal",
Utilities,"electricity, water bill, gas bill, utility, power bill, service bill",
Internet,"internet, broadband, wifi, cable, data plan",
Mobile Recharge,"mobile recharge, top-up, prepaid",
Telephone,"telephone, landline, call charges",
Cable TV,"cable tv, satellite tv",
Groceries,"grocery, supermarket, food store, kitchen, market",
Restaurants,"restaurant, dining, eatery, cafe, fast food",
Catering,"catering, event food, banquet",
Food Delivery,"food delivery, takeaway, delivery",
Entertainment,"movie, theater, cinema, recreation, subscription, tv, streaming",
Sports,"gym, fitness, sports, club, training",
Events,"event, concert, festival",
Medical,"hospital, clinic, doctor, medicine, healthcare, pharmacy",
Insurance,"auto insurance, car insurance",
Fitness,"fitness, exercise, personal trainer",
Medical Supplies,"medical supplies, health products",
Dental,"dental, dentist, orthodontics",
Travel,"flight, hotel, taxi, uber, airfare, travel, booking",
Fuel,"fuel, petrol, diesel, gasoline",
Parking,"parking, car park, garage",
Tolls,"toll, road toll, bridge toll",
Car Rental,"car rental, vehicle rental",
Travel Insurance,travel insurance,
Investment,"investment, stocks, shares, mutual fund, bonds",
Real Estate,"property, real estate, land, housing, rent",
Crypto,"cryptocurrency, bitcoin, ethereum, crypto",
Savings Account,savings account,
Retirement,"retirement, pension",
Education,"tuition, school, college, education, course, fees",
Books,"books, literature, textbooks",
Online Courses,"online course, webinar, e-learning",
Training,"training, workshop, seminar",
Rent,"rent, house rent, apartment rent, lease",
Home Improvement,"renovation, repair, maintenance, furniture",
Gardening,"gardening, plants, landscaping",
Property Management,"property management, maintenance",
Professional,"consulting, freelance, services, business, fee",
Office Supplies,"stationery, office supplies, equipment",
Legal,"legal, attorney, lawyer, consulting",
Business Travel,"business travel, client visit",
Subscriptions,"subscription, membership, service, renewal",
Digital Subscriptions,"digital subscription, online subscription",
Automobile,"car, vehicle, maintenance, service, repair",
Registration,car registration,
Shipping,"shipping, delivery, courier, parcel",
Freight,"freight, cargo",
Miscellaneous,"miscellaneous, other expenses",
Contingency,"contingency, unexpected",
Art & Culture,"museum, gallery, exhibition, art, cultural event",
Performing Arts,"theater, opera, ballet",
Pet Care,"veterinary, grooming, pet food, animal care",
Pet Insurance,pet insurance,
Wellness & Spa,"massage, spa, relaxation, wellness",
Health Club,"health club, wellness center",
Local & Community,"community event, local shop, market",
Charity Events,"charity events, fundraisers",
Home Appliances,"washing machine, refrigerator, microwave, air conditioner",
Electronic Devices,"television, computer, tablet",
Technology,"gadget, device, software, hardware, electronics",
Software,"software, software subscription",
Financial Management,"budget, expense, investment, savings, financial planning",
Accounting,"accounting, bookkeeping",
