Category,Keywords
NEFT,neft
IMPS,imps
UPI,"upi,gpay,phonepe,paytm"
Cash Deposit,"cash deposit,cash dep"
Self,"personal,transfer,withdrawal,salary,payment,refund,purchase"
Shopping,"shopping,store,supermarket,mall,retail"
Groceries,"groceries,grocery,supermarket,market"
Entertainment,"movie,theater,concert,show,cinema"
Dining,"restaurant,dining,eatery,food,cafe,bistro"
Fuel,"fuel,petrol,diesel,gas,refill"
Travel,"flight,airline,train,ticket,travel,trip,journey,booking"
Hotel,"hotel,accommodation,lodging,stay,inn,resort"
Healthcare,"clinic,hospital,doctor,medicine,pharmacy"
Education,"school,college,university,tuition,course,training"
Utilities,"electricity,water,gas,bill,payment"
Insurance,"insurance,premium,policy,coverage"
Loan,"loan,emi,interest,repayment,finance"
Investment,"investment,stock,share,bond,mutual fund"
Maintenance,"maintenance,repair,service,upkeep"
Charity,"charity,donation,contribution"
Gift,"gift,present,donation"
Subscription,"subscription,membership,renewal"
Telecommunication,"phone,mobile,internet,telecom,service"
Transport,"transport,ride,uber,lyft,taxi,cab"
Electronics,"electronics,gadget,device,appliance"
Clothing,"clothing,apparel,garment,wear"
Furniture,"furniture,sofa,table,chair,bed"
Stationery,"stationery,office supplies,paper,pen,pencil"
Beauty,"beauty,salon,spa,cosmetics"
Sports,"sports,equipment,gear,fitness"
Hobbies,"hobbies,craft,toy,game"
Miscellaneous,"miscellaneous,other,uncategorized,unknown"
Subscription,"netflix,hulu,spotify,prime,subscription"
Medical,"hospital,clinic,pharmacy,doctor,medicine"
Legal,"legal,lawyer,attorney,court,fee"
Rent,"rent,lease,tenant,landlord,apartment"
Salary,"salary,wages,earnings,pay,compensation"
Taxes,"taxes,government,fee,levy,duty"
Savings,"savings,account,deposit,bank"
Pet Care,"pet,vet,animal,care"
Fitness,"fitness,gym,workout,exercise"
Home Improvement,"home,improvement,renovation,repair"
Auto,"auto,car,vehicle,bike,repair"
Cleaning,"cleaning,maid,janitorial,housekeeping"
Gardening,"gardening,lawn,landscaping"
Security,"security,alarm,monitoring,surveillance"
Courier,"courier,delivery,shipment,package"
Laundry,"laundry,dry cleaning,washer,cleaning"
Pest Control,"pest control,exterminator,insect,bug"
Relocation,"relocation,moving,storage,packing"
Event,"event,party,celebration,occasion"
Wedding,"wedding,marriage,bride,groom"
Funeral,"funeral,mortuary,burial,cremation"
Legal Fees,"legal,attorney,lawyer,court"
Accounting,"accounting,bookkeeping,audit,tax"
Consulting,"consulting,advisor,expert,advice"
Freelance,"freelance,contractor,project,gig"
Childcare,"childcare,babysitter,daycare,nanny"
Elder Care,"elder care,nursing home,assisted living"
Repair,"repair,fix,service,mend"
Subscription,"netflix,hulu,spotify,prime"
Books,"books,ebook,paperback,novel"
Gifts,"gifts,present,donation,contribution"
Donations,"donations,charity,contribution,aid"
Memberships,"memberships,club,association,organization"
Personal Loan,"loan,personal,credit,debt"
Home Loan,"home loan,mortgage,finance,property"
Car Loan,"car loan,auto finance,vehicle loan"
